Ano;mes;date;Descricao;Gastos
2023;set;15/set;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;120
2023;set;15/set;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;1
2023;set;06/set;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;24
2023;set;06/set;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;set;05/set;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;108
2023;ago;28/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;24
2023;ago;25/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;72
2023;ago;25/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;1788
2023;ago;25/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;25/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;25/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3756
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;24
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;36
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;24
2023;ago;23/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;ago;22/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;ago;22/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;ago;22/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;6
2023;ago;22/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;ago;22/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;336
2023;ago;17/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;60
2023;ago;17/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;36
2023;ago;17/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;1
2023;ago;11/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;ago;10/ago;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;jul;31/jul;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;24
2023;jul;31/jul;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;12
2023;jul;24/jul;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;24
2023;jul;21/jul;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;72
2023;jul;20/jul;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G;3780
