Ano,date,description,amount
2020,25 Set,Agro Uniao Pet Shop ,"19,00"
2020,25 Set,The Best Acai Pl ,"8,13"
2020,26 Set,Amazon.Com.Br 1/4,"37,48"
2020,26 Set,The Best Acai Pl ,"15,00"
2020,28 Set,Pagamento recebido ,"-79,61"
2020,30 Set,Pag*Brunasabrinamarti ,"29,50"
2020,30 Set,Biazussi e Sangalli ,"16,90"
2020,01 Out,Amazonprimebr ,"9,90"
2020,03 Out,Amazon.Com.Br 2/4,"37,47"
2020,03 Out,Pagamento recebido ,"-56,30"
2020,05 Out,Mercado Ideal ,"21,40"
2020,06 Out,The Best Acai Pl ,"8,85"
2020,09 Out,Sumup *Fastburger ,"4,00"
2020,09 Out,Biazussi e Sangalli ,"6,40"
2020,10 Out,Pag*Garapadoisirmaos ,"11,00"
2020,12 Out,Pag*Claudineiamaramar ,"15,00"
2020,19 Out,Trento de Palotina ,"3,95"
2020,28 Out,Pag*Garapadoisirmaos ,"5,00"
2020,29 Out,The Best Acai Pl ,"13,10"
2020,30 Out,Amazonprimebr ,"9,90"
2020,03 Nov,Amazon.Com.Br 3/4,"37,47"
2020,10 Nov,Amazon.Com.Br 4/4,"37,47"
2020,10 Nov,Iris Pay ,"8,00"
2020,10 Nov,Desconto Antecipação Amazon.Com.Br ,"-0,05"
2020,10 Nov,Pagamento recebido ,"-136,07"
2020,11 Nov,Dicases Palotina ,"30,00"
2020,12 Nov,Posto Cvale ,"10,00"
2020,12 Nov,Supermercado Copagril ,"6,88"
2020,12 Nov,Posto Cvale ,"5,00"
2020,13 Nov,Amazon-Marketplace ,"55,01"
2020,14 Nov,Iris Pay ,"22,00"
2020,18 Nov,Pagamento recebido ,"-9,29"
2020,19 Nov,Biazussi e Sangalli ,"9,40"
2020,24 Nov,Pagamento recebido ,"-100,00"
2020,25 Nov,Aiqfome*Agenor Celso e ,"18,00"
2020,26 Nov,Ruanis e Ruanis ,"19,00"
2020,26 Nov,Pag*Anacarolinacruz ,"18,00"
2020,27 Nov,Bozo Lanches ,"34,00"
2020,28 Nov,Amazon.Com.Br Digital ,"16,90"
2020,28 Nov,Pagamento recebido ,"-20,00"
2020,30 Nov,Amazonprimebr ,"9,90"
2020,04 Dez,Pagamento recebido ,"-207,69"
2020,07 Dez,Hipermercado Cvale ,"7,80"
2020,07 Dez,Hipermercado Cvale ,"29,11"
2020,08 Dez,Udemy.Com ,"24,90"
2020,08 Dez,Udemy.Com ,"34,90"
2020,08 Dez,Udemy.Com ,"24,90"
2020,10 Dez,G A Machado e Cia ,"8,00"
2020,12 Dez,Mercado Iguacu ,"9,80"
2020,14 Dez,Sorveteria Mm*Sorveter ,"15,00"
2020,16 Dez,Point Lanches ,"17,00"
2020,19 Dez,Biazussi e Sangalli ,"9,50"
2020,21 Dez,Pagamento recebido ,"-30,49"
2020,22 Dez,Surf *Correios ,"25,00"
2020,24 Dez,Biazussi e Sangalli ,"6,80"
2020,29 Dez,Amazonprimebr ,"9,90"
2020,31 Dez,Pagamento recebido ,"-100,41"
2021,04 Jan,Surf *Correios ,"25,00"
2021,04 Jan,Emporio ,"45,00"
2021,04 Jan,Filial Cascavel Shoppi ,"31,70"
2021,05 Jan,Biazussi e Sangalli ,"5,40"
2021,07 Jan,Texas Pub ,"17,00"
2021,08 Jan,Pagamento recebido ,"-91,71"
2021,08 Jan,Pagamento recebido ,"-124,10"
2021,11 Jan,Jeremias Prado de Oliv ,"54,00"
2021,12 Jan,Quintal Detoni Steak ,"20,00"
2021,12 Jan,Mercado Iguacu ,"8,50"
2021,13 Jan,99oculos 1/2,"56,50"
2021,18 Jan,Pag*Agenorcelsoengrac ,"19,00"
2021,20 Jan,Pagamento recebido ,"-25,00"
2021,21 Jan,Surf *Correioscel ,"25,00"
2021,25 Jan,Pastelaria Mandacaru C ,"20,00"
2021,26 Jan,Biazussi e Sangalli ,"20,60"
2021,26 Jan,Pagamento recebido ,"-10,00"
2021,27 Jan,G A Machado e Cia ,"11,00"
2021,28 Jan,Texas Pub ,"36,00"
2021,29 Jan,Amazonprimebr ,"9,90"
2021,01 Fev,Monique Cases ,"30,00"
2021,01 Fev,Marques Zancan ,"7,00"
2021,01 Fev,Perenisse Ivoni Detsch ,"10,00"
2021,01 Fev,Jair Fajardo*Tend Tudo ,"17,00"
2021,01 Fev,Pag*Thiagoantoniohame ,"7,66"
2021,02 Fev,Mercado Iguacu ,"5,80"
2021,02 Fev,Biazussi e Sangalli ,"25,77"
2021,03 Fev,99oculos 2/2,"56,50"
2021,05 Fev,Pagamento recebido ,"-348,73"
2021,09 Fev,Surf *Correios ,"40,00"
2021,09 Fev,Auto Posto Cauneto ,"42,00"
2021,11 Fev,Agro Uniao Pet Shop ,"42,00"
2021,11 Fev,Udemy.Com ,"39,90"
2021,13 Fev,Biazussi e Sangalli ,"20,50"
2021,13 Fev,Pagamento recebido ,"-40,00"
2021,13 Fev,Udemy.Com ,"27,90"
2021,15 Fev,Google Niagara ,"26,99"
2021,15 Fev,Pag*Anamariacremonez ,"54,82"
2021,16 Fev,Ruanis e Ruanis ,"2,00"
2021,16 Fev,Pag*Thiagoantoniohame ,"9,00"
2021,17 Fev,G A Machado e Cia ,"23,45"
2021,18 Fev,Auto Posto Avenida ,"8,00"
2021,20 Fev,Surf *Correioscel ,"40,00"
2021,23 Fev,Biazussi e Sangalli ,"13,10"
2021,24 Fev,Biazussi e Sangalli ,"6,80"
2021,28 Fev,Pagamento recebido ,"-15,00"
2021,03 Mar,Amazonprimebr ,"9,90"
2021,05 Mar,Pagamento recebido ,"-397,96"
2021,08 Mar,Supermercado Ideal ,"17,90"
2021,08 Mar,Pag*Mirianschreiber ,"46,75"
2021,09 Mar,Biazussi e Sangalli ,"13,20"
2021,09 Mar,Hipermercado Cvale ,"20,72"
2021,10 Mar,Amazon.Com.Br ,"99,98"
2021,11 Mar,N Benitez Cagol Resta ,"21,00"
2021,11 Mar,G A Machado e Cia ,"9,00"
2021,11 Mar,Quintal Detoni Steak ,"25,00"
2021,12 Mar,Dicases Palotina ,"40,00"
2021,13 Mar,Mercado Iguacu ,"28,05"
2021,17 Mar,G A Machado e Cia ,"16,00"
2021,22 Mar,Surf *Correioscel ,"40,00"
2021,22 Mar,Dicases Palotina ,"30,00"
2021,07 Abr,Mercadolivre*Mercadol 1/2,"45,19"
2021,11 Abr,Pagamento recebido ,"-417,50"
2021,12 Abr,Desconto Antecipação Mercadolivre*Mercadol ,"-0,08"
2021,12 Abr,Mercadolivre*Mercadol 2/2,"45,20"
2021,13 Abr,Cremonese Assados ,"63,75"
2021,13 Abr,Mercado Iguacu ,"14,40"
2021,15 Abr,Amazon.Com.Br 1/5,"40,03"
2021,17 Abr,Mercado Iguacu ,"15,80"
2021,19 Abr,Farmacia Sto Antonio ,"22,00"
2021,19 Abr,Deck Beer ,"4,00"
2021,21 Abr,Surf *Correioscel ,"40,00"
2021,22 Abr,Pag*Restauranteca ,"68,00"
2021,23 Abr,Amazon.Com.Br ,"26,00"
2021,23 Abr,Mercado Iguacu ,"15,40"
2021,24 Abr,Pag*Agenorcelsoengrac ,"19,00"
2021,29 Abr,Amazonprimebr ,"9,90"
2021,29 Abr,Jeremias Prado de Oliv ,"17,00"
2021,03 Mai,Pag*Juliocesarhenz ,"19,00"
2021,03 Mai,Amazon.Com.Br 2/5,"39,99"
2021,04 Mai,Pag*Thiagoantoniohame ,"19,00"
2021,04 Mai,Panificadora Pao de ,"8,00"
2021,06 Mai,Aconchego Confeitaria ,"40,00"
2021,07 Mai,Amazon.Com.Br ,"53,90"
2021,08 Mai,Mp *Guarapeira ,"17,00"
2021,09 Mai,Pagamento recebido ,"-445,59"
2021,17 Mai,Dicases Palotina ,"50,00"
2021,17 Mai,Pag*Datecinformatica 1/2,"62,50"
2021,20 Mai,Agro Uniao Pet Shop ,"25,00"
2021,21 Mai,Doce Lar ,"22,47"
2021,21 Mai,Surf *Correioscel ,"40,00"
2021,24 Mai,Pagamento recebido ,"-26,00"
2021,24 Mai,Pagamento recebido ,"-30,00"
2021,26 Mai,Panificadora Pao de ,"8,50"
2021,29 Mai,Panificadora Pao de ,"6,00"
2021,29 Mai,Amazonprimebr ,"9,90"
2021,29 Mai,Cremonese Assados ,"28,98"
2021,31 Mai,Texas Pub ,"54,00"
2021,31 Mai,Mp *Barbeariafd ,"20,00"
2021,03 Jun,Amazon.Com.Br 3/5,"39,99"
2021,03 Jun,Pag*Datecinformatica 2/2,"62,50"
2021,09 Jun,Pagamento recebido ,"-468,24"
2021,10 Jun,Aconchego Confeitaria ,"61,50"
2021,10 Jun,Dicases Palotina ,"60,00"
2021,11 Jun,Ki Shawarma ,"42,10"
2021,16 Jun,Monique Cases ,"20,00"
2021,16 Jun,Monique Cases 1/2,"45,00"
2021,17 Jun,Biazussi e Sangalli ,"15,70"
2021,19 Jun,Pag*Datecinformatica ,"75,00"
2021,19 Jun,Pag*Datecinformatica ,"20,00"
2021,21 Jun,Surf *Correioscel ,"40,00"
2021,23 Jun,Brapel Comercio de Ali ,"26,40"
2021,01 Jul,Amazonprimebr ,"9,90"
2021,03 Jul,Amazon.Com.Br 4/5,"39,99"
2021,03 Jul,Monique Cases 2/2,"45,00"
2021,05 Jul,Bike Mobc*Bike Pelotas ,"15,00"
2021,07 Jul,Pagamento recebido ,"-518,09"
2021,09 Jul,Amazon.Com.Br 1/3,"66,67"
2021,10 Jul,Pag*Fmottacarvalho ,"89,90"
2021,10 Jul,Brapel C de A ,"13,00"
2021,14 Jul,Tania M G Lopes ,"8,50"
2021,15 Jul,Tania M G Lopes ,"6,50"
2021,19 Jul,Amazon.Com.Br ,"21,28"
2021,19 Jul,Uber *Trip ,"17,94"
2021,19 Jul,Uber *Uber *Trip ,"2,00"
2021,20 Jul,Surf *Correioscel ,"40,00"
2021,21 Jul,Uber *Uber *Trip ,"1,00"
2021,21 Jul,Udemy 1/2,"49,95"
2021,22 Jul,Uber *Uber *Trip ,"6,59"
2021,22 Jul,Uber *Trip Help.Uber.C ,"6,92"
2021,23 Jul,Uber *Uber *Trip ,"1,00"
2021,23 Jul,Uber *Uber *Trip ,"2,00"
2021,23 Jul,Uber *Uber *Trip ,"18,96"
2021,24 Jul,Uber *Trip Help.Uber.C ,"16,98"
2021,26 Jul,Google Tinder ,"29,99"
2021,29 Jul,Amazonprimebr ,"9,90"
2021,03 Ago,Amazon.Com.Br 2/3,"66,66"
